"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"C9orf47" "ENSG00000186354" "C9orf47" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 16 11 17 NA 1 4 16 16 18 13 8 9 12 15 NA 12 NA 0 NA 11 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C9orf84" "ENSG00000165181" "C9orf84" 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 2 2 2 2 0 NA 0 NA 0 NA 0 NA 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0 NA 1 0 64 8 16 23 13 17 9 6 10 15 6 1 2 0 0 0 0 0 0 0 1 0 1 0 0 0
"CAMP" "ENSG00000164047" "CAMP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 NA 3 NA 0 NA 0 NA 0 0 0 1 2 1 1 1 0 1 0 0 0 3 1 3 NA 5 NA 1 0 27 40 19 27 32 27 32 50 39 36 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CAPN13" "ENSG00000162949" "CAPN13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 6 2 33 39 3 4 6 3 9 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CCL13" "ENSG00000181374" "CCL13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 25 34 18 12 2331 1630 438 1210 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 44 1 122 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CCR4" "ENSG00000183813" "CCR4" 0 0 0 0 0 0 1 0 0 0 2 1 0 0 88 114 159 28 63 93 90 76 56 88 49 64 155 68 106 17 18 80 7 19 15 18 30 16 19 8 13 58 5 30 13 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 NA 0 NA 0 0 0 0 0 3 3 0 0 0 4 0 0 0 0 1 0 2 1 1 2 0 0 2 0 0 2 2
"CCSER1" "ENSG00000184305" "CCSER1" 23 9 6 7 7 7 24 8 14 13 13 9 4 25 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 5 31 5 31 5 5 10 6 NA 0 NA 0 NA 0 NA 0 1 1 0 2 0 0 1 0 1 1 1 0 0 1 1 1 0 NA 0 NA NA 7 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 1
"CD22" "ENSG00000012124" "CD22" 420 1654 666 1640 2019 1206 2019 1206 861 733 967 967 238 815 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 9 0 0 0 0 0 0 1 1 0 0 0 0 14 86 14 166 14 14 14 15 6 0 2 0 6 0 2 2 1 0 2 1 5 2 1 1 1 1 1 2 2 1 1 0 1 2 1 6 1 6 1 18 10 5 8 4 2 0 5 2 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1
"CD248" "ENSG00000174807" "CD248" 0 0 1 1 1 0 0 1 0 1 0 1 0 0 24 2 1 3 1 1 1 1 0 1 1 1 6 1 19 90 24 0 18 8 12 17 8 6 6 18 22 149 1 118 1 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4 5 0 0 0 0 0 0 0 0 NA 0 0 1 0 2 1 0 0 14 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"CD40LG" "ENSG00000102245" "CD40LG" 0 NA 0 0 0 0 0 0 0 0 0 0 1 0 42 52 51 17 28 60 63 49 55 53 56 56 166 82 90 3 4 0 1 1 5 6 6 5 5 2 3 9 0 6 9 NA 0 NA 0 NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 1 0 0 0
"CD8A" "ENSG00000153563" "CD8A" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 6 7 1 1 4 4 1 8 3 6 2 1 1 0 734 457 366 330 1034 814 814 734 771 732 395 357 968 446 699 257 0 0 0 0 0 0 0 0 1 NA 0 NA 1 NA 0 NA 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 NA 0 NA 0 0 1 2 0 0 0 3 0 0 0 0 0 64 60 6 10 6 6 6 5 6 144 7 178 6 6 7
"CD8B" "ENSG00000172116" "CD8B" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 0 1 3 1 3 1 3 1 0 0 0 166 309 206 197 241 276 285 290 338 263 330 299 147 466 231 148 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 3 0 0 0 4 3 0 0 NA 1 1 1 1 1 0 3 1 1 2 0 1 1
