"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"PKMYT1" "ENSG00000127564" "PKMYT1" 0 NA 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 3 0 0 2 0 3 2 1 0 30 0 0 0 0 2 3 0 0 0 0 2 2 0 0 0 0 30 NA NA NA NA NA NA NA NA 0 1 0 0 0 2 0 25 0 NA 0 NA 0 0 0 0 0 0 0 0 0 2 NA 0 12 0 26 25 19 NA 0 2 5 6 3 5 2 3 6 2 0 NA 0 0 2 2 2 6 0 0 2 0 0 2 2
"PLEKHG7" "ENSG00000187510" "PLEKHG7" 2 21 9 1 3 6 8 3 5 7 8 7 1 7 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 1 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"PROCR" "ENSG00000101000" "PROCR" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 5 0 0 2 0 0 1 4 4 1 5 2 2 2 0 0 0 2 NA 6 NA 3 NA NA NA NA 2 67 1 19 7 38 1 3 1 NA 1 1 0 0 1 0 1 2 1 2 1 0 1 0 52 12 21 6 27 NA 0 0 0 0 0 0 0 0 0 0 1 NA 0 3 4 6 4 6 5 1 3 1 4 4 2
"PROSER2" "ENSG00000148426" "PROSER2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 NA 1 0 1 1 1 1 1 1 1 2 NA 0 1 1 NA 0 0 0 0 1 1 1 0 0 1 NA 0 NA 1 6 1 3 1 1 2 1 NA 0 NA 0 NA 0 NA 0 4 4 10 17 8 6 5 6 8 6 8 5 10 5 13 6 0 NA 0 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0 0 1 0 0 1 1 0 0 0 1
"PRSS57" "ENSG00000185198" "PRSS57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 NA 0 NA 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 2 NA 1 1 1 0 1 1 0 0 0 0 NA 0 NA 1 NA 2 1 0 0 0 0 0 0 0 0 0 0 0 3 5 5 9 8 10 7 7 13 0 12 1 6 22 10
"PTGDR2" "ENSG00000183134" "PTGDR2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 1 0 1 1 1 0 1 2 0 7 1 2 2 1 0 1 1 1 1 2 1 1 0 1 13 1 2 1 73 10 38 3 38 70 72 39 NA NA NA NA NA NA NA NA 0 1 2 1 0 0 3 3 1 1 0 1 0 1 0 1 NA 0 NA 2 1 12 0 0 0 0 0 8 0 0 0 0 0 0 8 1 3 0 8 4 4 0 4 0 0 1 5
"PTX3" "ENSG00000163661" "PTX3" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 1 5 1 2 2 4 5 0 0 1 2 1 14 1 23 17 9 53 17 20 27 35 41 99 86 55 44 66 13 14 14 2 1 6 11 0 3 10 0 3 3 4 3 3 3 3 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"RAB42" "ENSG00000188060" "RAB42" 7 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 25 0 0 0 0 0 0 0 0 0 1 6 0 1 0 10 0 0 0 0 0 0 0 0 0 1 2 0 8 0 NA 0 NA 0 0 0 0 2 1 2 1 4 10 0 13 0 0 0 NA 1 1 0 0 0 1 0 0 0 1 NA 0 20 20 19 13 36 4 0 0 4 3 5 3 4 0 4 3 1 0 0 5 0 0 0 0 0 1 0 1 0 0 0
"RAP1GAP" "ENSG00000076864" "RAP1GAP" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA NA NA NA 2 0 0 0 11 0 2 0 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 9 12 13 11 2 7 5 8 12 10 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"RBPMS2" "ENSG00000166831" "RBPMS2" 0 0 1 0 1 1 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 8 3 5 8 7 7 3 2 6 1 20 6 9 6
"RCAN2" "ENSG00000172348" "RCAN2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 31 0 1 1 1 0 5 3 5 2 3 3 0 0 1 5 1 6 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 1 0 0 0 0 0 0
"REG4" "ENSG00000134193" "REG4" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 1 0 1 2 1 0 0 13 6 1 6 4 2 4 7 3 5 14 17 17 0 13 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"RHOBTB3" "ENSG00000164292" "RHOBTB3" 1 2 3 3 2 2 1 2 2 6 2 2 2 2 3 1 0 2 1 2 2 1 1 2 3 3 1 1 2 2 1 1 0 2 3 4 2 2 2 1 1 1 0 0 0 0 6 2 11 1 0 2 2 1 4 3 2 1 8 2 3 5 1 0 4 13 7 2 2 1 1 2 1 1 3 4 2 4 24 4 3 2 10 0 2 3 3 7 6 3 3 3 3 64 68 47 5 66 42 54 59 26 51 53 52 36 58 58
"RN7SKP16" "ENSG00000222112" "RN7SKP16" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 1 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA NA 1 0 1 0 0 0 0 0 0 0 0 0 NA 1 NA NA NA NA NA NA 22 9 12 13 7 8 8 7 7 9 10 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"RNF165" "ENSG00000141622" "RNF165" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 6 1 0 1 5 5 4 4 3 2 1 0 1 0 3 NA 0 NA 0 NA NA NA NA 0 NA 0 NA 0 NA 0 NA 1 NA 0 0 0 0 0 0 0 0 0 0 0 1 1 1 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 68 NA 72 50 64 51 60 70 27 94 50 93 64 69 66
"ROBO1" "ENSG00000169855" "ROBO1" 1 NA 2 0 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 10 0 2 2 5 3 2 1 1 6 13 4 0 25 0 NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 0 1 NA 1 NA 0 2 2 1 0 0 0 0 1 0 NA 0 0 4 0 2 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 1 0 0 0 0 0 0 1 0 0 0 0 1
"RTKN" "ENSG00000114993" "RTKN" 0 NA 3 2 5 3 1 2 2 2 3 3 7 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 NA NA NA NA NA NA NA NA 0 0 0 2 3 0 1 0 1 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 4 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 9 NA 11 13 10 8 16 16 6 24 11 5 12 9 8
"RTKN2" "ENSG00000182010" "RTKN2" 0 0 0 0 0 1 1 0 0 0 1 0 2 0 21 28 47 26 42 49 50 36 29 29 28 28 36 76 42 2 9 0 4 2 2 2 5 3 3 2 3 5 1 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 3 0 0 1 1 0 0 1 0 0 1 1
"RXFP2" "ENSG00000133105" "RXFP2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA NA NA NA 0 NA 0 NA 0 NA 0 NA 12 NA 3 2 2 9 3 2 7 3 7 5 6 32 2 23 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"S1PR3" "ENSG00000213694" "S1PR3" 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 11 0 13 0 2 0 2 0 33 44 78 57 14 18 84 60 64 57 56 51 55 47 43 93 0 16 0 22 9 2 12 3 8 0 1 3 4 1 4 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"SARDH" "ENSG00000123453" "SARDH" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 3 23 21 6 9 7 6 17 12 14 20 20 3 18 8 6 7 14 1 3 2 2 6 3 3 4 7 2 2 4 0 NA 0 NA 0 NA NA NA NA 1 0 1 0 0 1 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 8 28 7 9 2 5 1 2 0 1 7 5 3
"SCN3A" "ENSG00000153253" "SCN3A" 94 31 32 58 82 88 79 95 72 53 70 51 64 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SCN4A" "ENSG00000007314" "SCN4A" 28 7 8 2 6 8 7 10 5 7 9 6 77 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0
"SDS" "ENSG00000135094" "SDS" 0 NA 0 0 0 1 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 28 0 0 0 2 0 1 0 1 1 1 0 0 0 0 0 0 1 NA 17 NA 12 NA NA NA NA 0 NA 1 NA 1 NA 0 NA 0 NA 3 6 3 1 3 1 1 3 3 1 1 0 1 0 NA 126 NA 56 180 NA 0 0 0 2 0 0 0 0 0 2 0 NA 0 0 0 0 0 0 0 0 0 0 1 0 0
"SDSL" "ENSG00000139410" "SDSL" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 3 NA 5 NA NA NA NA 7 53 9 43 4 7 2 7 1 NA 8 7 2 3 6 7 5 7 5 4 4 2 7 3 18 30 14 18 39 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 1 0 0 0 1 0
"SEMA3G" "ENSG00000010319" "SEMA3G" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 12 5 0 3 12 2 3 6 2 5 0 0 27 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 0 0 0 0 0 0 0 0 0 1 NA 0 NA 1 NA 1 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"SEMA5A" "ENSG00000112902" "SEMA5A" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 5 3 2 1 0 5 3 5 6 8 1 2 4 0 10 0 1 1 0 0 1 1 2 2 1 0 0 1 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"SFRP5" "ENSG00000120057" "SFRP5" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 10 4 8 5 2 6 4 8 12 11 0 6 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH2D1B" "ENSG00000198574" "SH2D1B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 3 4 3 1 0 3 2 1 1 1 0 34 165 NA 164 NA 166 161 168 166 0 NA 0 NA 0 NA 0 NA 0 1 2 NA 1 3 3 3 0 2 1 3 0 0 NA 0 NA 2 NA 1 0 4 6 0 0 4 5 0 8 0 4 0 474 1113 232 1641 270 300 305 283 318 593 305 349 293 347 318
"SH3BGRL2" "ENSG00000198478" "SH3BGRL2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 0 1 0 2 1 1 1 0 1 2 7 14 7 3 2 2 5 2 9 8 8 5 4 18 1 0 NA 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 1 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"SIRPB3P" "ENSG00000223750" "SIRPB3P" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 1 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 1 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 76 10 8 11 12 14 8 7 16 15 10 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"SLC1A3" "ENSG00000079215" "SLC1A3" 0 NA 0 0 0 0 0 0 0 0 0 0 1 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA 58 153 21 122 3 38 3 17 8 NA 3 NA 22 8 3 5 2 5 2 2 4 4 NA 1 82 277 48 110 27 NA 0 45 16 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"SLC22A1" "ENSG00000175003" "SLC22A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 NA 1 1 0 0 1 1 1 0 1 0 NA 0 0 0 0 0 0 97 30 6 22 34 30 41 27 32 25 26 0 4 1 0 1 1 1 2 1 1 1 0 1 2 1
"SLC22A16" "ENSG00000004809" "SLC22A16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 1 NA 1 NA 6 8 3 6 4 4 7 6 7 1 3 14 3 4 7 1 NA 0 NA 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SLC4A10" "ENSG00000144290" "SLC4A10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 25 2 2 4 4 2 9 2 2 2 2 4 4 56 52 1 9 2 117 128 48 86 70 28 14 7 0 28 10 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 5 1 2 1 3 2 0 8 6 2 6 1 4
"SLC9A7P1" "ENSG00000227825" "SLC9A7P1" 0 3 0 0 0 0 0 0 0 0 0 0 0 4 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 24 4 24 3 23 23 23 24 NA NA NA NA NA NA NA NA 52 46 20 17 17 30 19 17 27 22 29 34 25 60 16 86 NA NA NA NA NA 0 3 1 1 1 1 1 1 1 1 1 0 0 0 NA 0 0 2 0 0 2 0 0 0 0 0
"SOAT2" "ENSG00000167780" "SOAT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 1 4 3 3 4 4 0 1 0 0 0 0 8 0 8 8 8 6 8 8 8 3 3 1 0 1 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SPOCK1" "ENSG00000152377" "SPOCK1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 8 8 5 9 3 8 7 4 6 6 6 8 8 13 13 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ST6GALNAC1" "ENSG00000070526" "ST6GALNAC1" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 3 13 14 10 7 31 30 12 12 11 12 18 3 0 6 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 2 0 0 0 0 0 2 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"STAB1" "ENSG00000010327" "STAB1" 0 0 3 15 3 2 0 2 0 1 0 3 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 17 26 66 14 67 48 14 48 26 8 80 16 37 441 196 297 304 146 473 424 643 2717 2269 424 333 659 402 504 377 525 176 703 181 299 122 307 86 190 2 50 2 0 0 2 0 0 0 0 0 0 26 2 0 1 0 1 0 0 0 0 0 0 0 0
"STAP1" "ENSG00000035720" "STAP1" 347 243 102 144 128 113 161 136 96 121 121 125 202 183 8 3 1 2 0 3 3 4 2 2 2 5 7 3 9 1 0 0 0 0 0 0 0 0 0 0 1 1 2 2 0 1 15 1 21 1 1 1 1 0 NA 0 NA 1 NA 1 NA 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 3 0 0 0 0 0 0 0 0 0 0 14 14 5 5 2 3 4 7 0 6 2 8 7 3 2
"STK32B" "ENSG00000152953" "STK32B" 0 0 1 0 0 1 1 0 0 1 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 2 2 4 8 5 7 5 4 5 6 2 5 8 5 8 6 1 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TAS2R40" "ENSG00000221937" "TAS2R40" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1 NA 0 NA 0 NA 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 1 NA 0 NA 0 0 52 17 23 26 17 15 19 14 16 11 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TCL6" "ENSG00000187621" "TCL6" 19 86 70 131 171 88 102 115 59 49 97 84 62 21 0 0 NA 3 1 3 3 1 1 1 0 1 0 NA 0 0 0 NA 1 1 2 1 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 1 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA 0 0 0 0 3 4 0 4 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0
"TDRD6" "ENSG00000180113" "TDRD6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 1 1 6 NA 3 NA 6 NA 3 NA 6 20 10 6 1 2 9 10 7 10 6 14 5 11 6 15 NA 0 NA 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"THEMIS" "ENSG00000172673" "THEMIS" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 122 112 106 92 94 136 122 90 156 99 82 108 136 62 196 313 161 156 108 261 217 242 188 134 209 239 225 272 333 702 815 NA NA NA NA NA NA NA NA 2 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 1 NA 0 0 0 0 0 0 0 0 0 0 1 NA 1 0 1 2 0 1 5 1 1 2 0 1 1
"TMEM132D" "ENSG00000151952" "TMEM132D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 1 5 1 0 1 1 1 1 0 1 0 0 2 0 NA 0 NA 0 0 10 10 9 14 15 21 13 11 18 14 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TMEM37" "ENSG00000171227" "TMEM37" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 2 0 20 3 13 15 0 NA 0 NA 6 4 0 0 0 0 0 0 0 0 NA 0 51 4 47 1 9 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0
"TMEM52B" "ENSG00000165685" "TMEM52B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 6 2 1 1 2 1 5 2 2 5 8 2 1 4 NA 31 NA 68 22 0 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TNFRSF13C" "ENSG00000159958" "TNFRSF13C" 80 128 185 139 180 201 175 216 115 155 132 130 78 130 2 4 0 2 8 3 3 3 2 3 2 1 2 0 1 0 8 3 2 6 6 4 8 2 7 1 3 19 0 1 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TNIP3" "ENSG00000050730" "TNIP3" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 1 1 1 1 1 1 1 35 1 2 2 60 0 7 3 4 1 2 2 1 2 3 250 5 30 NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 0 NA 0 NA 0 NA 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 1 NA 0 0 0 0 0 0 0 0 0 0 1 NA 0 1 0 0 0 0 0 0 0 0 0 1 0
"TREM2" "ENSG00000095970" "TREM2" 0 NA 0 0 0 0 0 0 0 0 0 0 1 0 0 0 9 0 0 0 0 0 0 0 0 0 0 52 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 7 NA NA NA NA NA NA NA NA 14 47 21 19 184 277 117 266 1 NA 0 NA 0 0 0 0 0 0 0 0 0 1 NA 4 257 253 122 132 100 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
